"COC","CESE.ID","Field.ID","Site","Sample.Type","Collected","Received","Prep.Date","Analysis.Date","Units","Compound","Conc","RL","BRL"
220305,"220305-002","RB_sed2_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDS","ND","0.75","no"
220305,"220305-002","RB_sed2_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","NEtFOSAA","ND","2.17","no"
220305,"220305-002","RB_sed2_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","X11CL.PF3OUdS","ND","0.38","no"
220305,"220305-002","RB_sed2_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFUnA","ND","1.1","no"
220305,"220305-002","RB_sed2_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDoA","ND","1.07","no"
220305,"220305-002","RB_sed2_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTrDA","ND","2.05","no"
220305,"220305-002","RB_sed2_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTA","ND","2","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBA","ND","0.27","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeA","ND","0.42","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBS","ND","0.27","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxA","ND","0.49","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","X4.2FTS","ND","2.05","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeS","ND","0.21","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","GenX","ND","1.7","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","ADONA","ND","0.23","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpA","ND","0.49","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxS","ND","0.2","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOA","ND","0.49","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpS","ND","0.31","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","X6.2FTS","ND","2.69","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","X9Cl.PF3ONS","ND","0.27","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNA","ND","0.91","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOS","0.45","0.35","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNS","ND","0.72","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","X8.2FTS","ND","2.25","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDA","ND","0.69","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","NMeFOSAA","ND","5.81","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOSA","ND","0.36","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDS","ND","0.75","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","NEtFOSAA","ND","2.17","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","X11CL.PF3OUdS","ND","0.38","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFUnA","ND","1.1","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDoA","ND","1.07","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTrDA","ND","2.05","no"
220305,"220305-003","RB_sed3_6-02","Russell Brook","Sediment","06/02/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTA","ND","2","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBA","ND","0.27","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeA","ND","0.42","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBS","ND","0.27","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxA","ND","0.49","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X4.2FTS","ND","2.05","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeS","ND","0.21","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","GenX","ND","1.7","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","ADONA","ND","0.23","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpA","ND","0.49","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxS","ND","0.2","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOA","ND","0.49","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpS","ND","0.31","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X6.2FTS","ND","2.69","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X9Cl.PF3ONS","ND","0.27","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNA","ND","0.91","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOS","0.11","0.35","yes"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNS","ND","0.72","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X8.2FTS","ND","2.25","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDA","ND","0.69","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","NMeFOSAA","ND","5.81","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOSA","ND","0.36","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDS","ND","0.75","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","NEtFOSAA","ND","2.17","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X11CL.PF3OUdS","ND","0.38","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFUnA","ND","1.1","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDoA","ND","1.07","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTrDA","ND","2.05","no"
220305,"220305-004","HB_sed1_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTA","ND","2","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBA","ND","0.27","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeA","ND","0.42","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBS","ND","0.27","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxA","ND","0.49","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X4.2FTS","ND","2.05","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeS","ND","0.21","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","GenX","ND","1.7","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","ADONA","ND","0.23","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpA","ND","0.49","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxS","ND","0.2","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOA","ND","0.49","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpS","ND","0.31","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X6.2FTS","ND","2.69","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X9Cl.PF3ONS","ND","0.27","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNA","ND","0.91","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOS","ND","0.35","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNS","ND","0.72","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X8.2FTS","ND","2.25","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDA","ND","0.69","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","NMeFOSAA","ND","5.81","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOSA","ND","0.36","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDS","ND","0.75","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","NEtFOSAA","ND","2.17","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X11CL.PF3OUdS","ND","0.38","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFUnA","ND","1.1","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDoA","ND","1.07","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTrDA","ND","2.05","no"
220305,"220305-005","HB_sed2_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTA","ND","2","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBA","ND","0.27","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeA","ND","0.42","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBS","ND","0.27","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxA","ND","0.49","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X4.2FTS","ND","2.05","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeS","ND","0.21","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","GenX","ND","1.7","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","ADONA","ND","0.23","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpA","ND","0.49","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxS","ND","0.2","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOA","ND","0.49","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpS","ND","0.31","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X6.2FTS","ND","2.69","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X9Cl.PF3ONS","ND","0.27","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNA","ND","0.91","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOS","0.62","0.35","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNS","ND","0.72","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X8.2FTS","ND","2.25","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDA","ND","0.69","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","NMeFOSAA","ND","5.81","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOSA","ND","0.36","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDS","ND","0.75","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","NEtFOSAA","ND","2.17","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","X11CL.PF3OUdS","ND","0.38","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFUnA","ND","1.1","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDoA","ND","1.07","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTrDA","ND","2.05","no"
220305,"220305-006","HB_sed3_6-03","Hop Brook","Sediment","06/03/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTA","ND","2","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBA","ND","0.27","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeA","ND","0.42","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBS","ND","0.27","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxA","ND","0.49","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","X4.2FTS","ND","2.05","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeS","ND","0.21","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","GenX","ND","1.7","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","ADONA","ND","0.23","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpA","ND","0.49","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxS","ND","0.2","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOA","ND","0.49","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpS","ND","0.31","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","X6.2FTS","ND","2.69","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","X9Cl.PF3ONS","ND","0.27","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNA","ND","0.91","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOS","0.21","0.35","yes"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNS","ND","0.72","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","X8.2FTS","ND","2.25","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDA","ND","0.69","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","NMeFOSAA","ND","5.81","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOSA","ND","0.36","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDS","ND","0.75","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","NEtFOSAA","ND","2.17","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","X11CL.PF3OUdS","ND","0.38","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFUnA","ND","1.1","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDoA","ND","1.07","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTrDA","ND","2.05","no"
220305,"220305-007","RB_sed1_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTA","ND","2","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBA","ND","0.27","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeA","ND","0.42","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBS","ND","0.27","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxA","ND","0.49","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","X4.2FTS","ND","2.05","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFPeS","ND","0.21","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","GenX","ND","1.7","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","ADONA","ND","0.23","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpA","ND","0.49","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHxS","ND","0.2","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOA","0.04","0.49","yes"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFHpS","ND","0.31","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","X6.2FTS","ND","2.69","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","X9Cl.PF3ONS","ND","0.27","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNA","ND","0.91","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOS","ND","0.35","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFNS","ND","0.72","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","X8.2FTS","ND","2.25","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDA","ND","0.69","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","NMeFOSAA","ND","5.81","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFOSA","ND","0.36","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDS","ND","0.75","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","NEtFOSAA","ND","2.17","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","X11CL.PF3OUdS","ND","0.38","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFUnA","ND","1.1","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFDoA","ND","1.07","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTrDA","ND","2.05","no"
220305,"220305-008","RB_sed2_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFTA","ND","2","no"
220305,"220305-009","RB_sed3_end","Russell Brook","Sediment","06/30/22","06/24/22","9/28/22","10/6/22","ng/g ww","PFBA","ND","0.27","no"
